Family,genome_count,fraction,percentage
Filamentoviridae,3,0.0001514921981517952,0.01514921981517952
Assiduviridae,3,0.0001514921981517952,0.01514921981517952
Konodaiviridae,3,0.0001514921981517952,0.01514921981517952
Haloferuviridae,3,0.0001514921981517952,0.01514921981517952
Paulinoviridae,3,0.0001514921981517952,0.01514921981517952
Permutotetraviridae,3,0.0001514921981517952,0.01514921981517952
Mesomimiviridae,3,0.0001514921981517952,0.01514921981517952
Obscuriviridae,3,0.0001514921981517952,0.01514921981517952
Metaxyviridae,3,0.0001514921981517952,0.01514921981517952
Wupedeviridae,3,0.0001514921981517952,0.01514921981517952
Yangangviridae,3,0.0001514921981517952,0.01514921981517952
Vertoviridae,3,0.0001514921981517952,0.01514921981517952
Winoviridae,3,0.0001514921981517952,0.01514921981517952
Toyamaviridae,3,0.0001514921981517952,0.01514921981517952
Thaspiviridae,3,0.0001514921981517952,0.01514921981517952
Tolecusatellitidae,2,0.00010099479876786346,0.010099479876786346
Allomimiviridae,2,0.00010099479876786346,0.010099479876786346
Molycolviridae,2,0.00010099479876786346,0.010099479876786346
Narnaviridae,2,0.00010099479876786346,0.010099479876786346
Mamonoviridae,2,0.00010099479876786346,0.010099479876786346
Malacoherpesviridae,2,0.00010099479876786346,0.010099479876786346
Itzamnaviridae,2,0.00010099479876786346,0.010099479876786346
Kleczkowskaviridae,2,0.00010099479876786346,0.010099479876786346
Asemoviridae,2,0.00010099479876786346,0.010099479876786346
Mestraviridae,2,0.00010099479876786346,0.010099479876786346
Pervagoviridae,2,0.00010099479876786346,0.010099479876786346
Hadakaviridae,2,0.00010099479876786346,0.010099479876786346
Madridviridae,2,0.00010099479876786346,0.010099479876786346
Hytrosaviridae,2,0.00010099479876786346,0.010099479876786346
Megatotiviridae,2,0.00010099479876786346,0.010099479876786346
Matsushitaviridae,2,0.00010099479876786346,0.010099479876786346
Fredfastierviridae,2,0.00010099479876786346,0.010099479876786346
Ekchuahviridae,2,0.00010099479876786346,0.010099479876786346
Forsetiviridae,2,0.00010099479876786346,0.010099479876786346
Portogloboviridae,2,0.00010099479876786346,0.010099479876786346
Skuldviridae,2,0.00010099479876786346,0.010099479876786346
Sinhaliviridae,2,0.00010099479876786346,0.010099479876786346
Soropartitiviridae,2,0.00010099479876786346,0.010099479876786346
Solinviviridae,2,0.00010099479876786346,0.010099479876786346
Turriviridae,2,0.00010099479876786346,0.010099479876786346
Corticoviridae,2,0.00010099479876786346,0.010099479876786346
Schizomimiviridae,2,0.00010099479876786346,0.010099479876786346
Cremegaviridae,2,0.00010099479876786346,0.010099479876786346
Eupolintoviridae,2,0.00010099479876786346,0.010099479876786346
Saparoviridae,2,0.00010099479876786346,0.010099479876786346
Bidnaviridae,2,0.00010099479876786346,0.010099479876786346
Yueviridae,2,0.00010099479876786346,0.010099479876786346
Sputniviroviridae,2,0.00010099479876786346,0.010099479876786346
Usuviridae,2,0.00010099479876786346,0.010099479876786346
Tulasviridae,2,0.00010099479876786346,0.010099479876786346
Amesuviridae,2,0.00010099479876786346,0.010099479876786346
Druskaviridae,2,0.00010099479876786346,0.010099479876786346
Graaviviridae,2,0.00010099479876786346,0.010099479876786346
Nanhypoviridae,1,5.049739938393173e-05,0.005049739938393173
Naomviridae,1,5.049739938393173e-05,0.005049739938393173
Mypoviridae,1,5.049739938393173e-05,0.005049739938393173
Monocitiviridae,1,5.049739938393173e-05,0.005049739938393173
Olifoviridae,1,5.049739938393173e-05,0.005049739938393173
Omnilimnoviroviridae,1,5.049739938393173e-05,0.005049739938393173
Yadonushiviridae,1,5.049739938393173e-05,0.005049739938393173
Yanlukaviridae,1,5.049739938393173e-05,0.005049739938393173
Myriaviridae,1,5.049739938393173e-05,0.005049739938393173
Nanghoshaviridae,1,5.049739938393173e-05,0.005049739938393173
Natareviridae,1,5.049739938393173e-05,0.005049739938393173
Noraviridae,1,5.049739938393173e-05,0.005049739938393173
Ahmunviridae,1,5.049739938393173e-05,0.005049739938393173
Ahpuchviridae,1,5.049739938393173e-05,0.005049739938393173
Huangdiviridae,1,5.049739938393173e-05,0.005049739938393173
Helgolandviridae,1,5.049739938393173e-05,0.005049739938393173
Halspiviridae,1,5.049739938393173e-05,0.005049739938393173
Halomagnusviridae,1,5.049739938393173e-05,0.005049739938393173
Guttaviridae,1,5.049739938393173e-05,0.005049739938393173
Gulliviroviridae,1,5.049739938393173e-05,0.005049739938393173
Gresnaviridae,1,5.049739938393173e-05,0.005049739938393173
Phypoliviridae,1,5.049739938393173e-05,0.005049739938393173
Kairosviridae,1,5.049739938393173e-05,0.005049739938393173
Barnaviridae,1,5.049739938393173e-05,0.005049739938393173
Krittikaviridae,1,5.049739938393173e-05,0.005049739938393173
Kunpengviridae,1,5.049739938393173e-05,0.005049739938393173
Leisingerviridae,1,5.049739938393173e-05,0.005049739938393173
Ludisviridae,1,5.049739938393173e-05,0.005049739938393173
Lutetiaviridae,1,5.049739938393173e-05,0.005049739938393173
